OBS,CASA,CCA,DCCA,CNB,CNE,CNFDI,COT,NGDP2,RESID,RTWI,S1old,S2old,SPREAD1,SPREAD2,TWI,S1,S2
1973Q1,145,838,,,,-3169,,333.775,,103.9251,,,2.066957455,1.99582809,103.9781333,,
1973Q2,873,1666,828,,,-5252,,342.875,,99.14556667,,,2.956074961,2.72994306,99.69966667,,
1973Q3,2737,2695,1029,,,-6788,,347.675,,96.07603333,,,5.391523959,5.145231077,97.29126667,,
1973Q4,3383,7140,4445,,,-8553,,357.95,,98.22046667,,,4.622471462,4.385840263,99.94193333,,
1974Q1,1612,9349,2209,,,-5919,,361.625,,100.4015667,,,3.206323395,2.494862036,103.5986,,
1974Q2,110,9927,578,,,-7508,,371.2,,95.98296667,,,4.222612225,2.836449571,99.75536667,,
1974Q3,-295,7407,-2520,,,-10358,,378.425,,98.1263,,,4.420335306,2.591452911,102.5224333,,
1974Q4,531,9101,1694,,,-12844,,388.2,,97.38176667,,,2.007010201,0.317175277,102.316,,
1975Q1,4207,13655,4554,,,-16675,,392.35,,94.22096667,,,-0.477812457,-1.785876246,99.3828,,
1975Q2,5014,19217,5562,,,-20079,,401.25,,93.4512,,,-0.899761813,-1.880926473,100.1265667,,
1975Q3,4080,21106,1889,,,-21488,,415.6,,96.9878,,,-0.016012855,-0.863091248,104.4449333,,
1975Q4,4813,27218,6112,,,-24485,,428.475,,97.5385,,,-0.438731699,-1.141397491,105.5978333,,
1976Q1,2566,29983,2765,,,-27046,,442.975,,96.57286667,,,-0.942537449,-1.650032187,105.6472,,
1976Q2,1648,32445,2462,,,-28287,,451.05,,96.55593333,,,-0.569471909,-1.290763983,106.8394667,,
1976Q3,-84,29993,-2452,,,-30589,,459.425,,95.8076,,,-0.639320157,-1.459680806,106.2259667,,
1976Q4,163,31514,1521,,,-32087,,471.125,,95.45556667,,,-0.757786096,-1.350319194,106.9619667,,
1977Q1,-2687,29038,-2476,,,-33164,,484.625,,95.21543333,,,-0.901392672,-1.503004788,107.3062,,
1977Q2,-3031,26908,-2130,7269,971,-36204,,501.3,,94.36333333,,,0.175568079,0.002995129,106.8810667,,
1977Q3,-2757,21652,-5256,11836,802,-37858,,516.5,,93.4218,,,1.153058594,1.280591338,106.2341,,
1977Q4,-5862,17178,-4474,15545,1292,-40250,,527.7,,91.14916667,,,1.815913274,1.857897098,103.8999667,,
1978Q1,-7020,11299,-5879,9144,2093,-43784,,537.275,,88.58076667,,,1.675582943,1.332762027,100.7213,,
1978Q2,-3777,7909,-3390,416,2371,-45418,714,568.675,,88.2044,,,1.843615765,1.172850854,99.656,,
1978Q3,-3667,1334,-6575,882,1380,-45266,1009,583.8,,84.3713,,,2.458730733,1.8680526,94.82143333,,
1978Q4,-679,2035,701,2368,578,-48411,3014,604,,84.04283333,,,3.275289451,2.720829798,93.63213333,,
1979Q1,-424,3366,1331,-587,1288,-52776,382,615.825,,85.8919,,,3.542472786,3.145136547,94.87403333,,
1979Q2,-691,3405,39,-1096,1125,-56840,485,631.6,,88.1537,,,3.659936837,3.355967733,96.32276667,,
1979Q3,923,480,-2925,1377,163,-60133,2035,649.925,,87.19213333,,,2.660934659,1.11299824,94.6398,,
1979Q4,-98,1750,1270,1100,-262,-61758,1211,664.85,,89.6834,,,3.488158155,1.7961734,96.58186667,,
1980Q1,-3459,139,-1611,2511,1475,-64286,-318,681.025,,90.76983333,,,3.645789464,1.743768186,96.61356667,,
1980Q2,-941,-59,-198,3349,1607,-61320,2196,682,,90.99943333,,,0.487997635,-2.144155674,96.12803333,,
1980Q3,4333,153,212,3614,29,-60145,3120,696.3,,88.13673333,,,-1.099211512,-3.23602888,93.43626667,,
1980Q4,2383,4068,3915,5988,1675,-64062,1669,728.825,,90.3238,,,4.466110114,3.371670907,95.23736667,,
